dt_start,dt_end,Project,Duration,Task,weekday,week_num
2021-04-06 09:03:49,2021-04-06 09:54:19,Project A,0 days 00:50:30,admin,Tuesday,14
2021-04-06 09:58:04,2021-04-06 11:01:29,Project B,0 days 01:03:25,writing,Tuesday,14
2021-04-06 11:26:53,2021-04-06 11:33:41,Project B,0 days 00:06:48,programming,Tuesday,14
2021-04-07 09:19:10,2021-04-07 12:10:33,Project C,0 days 02:51:23,mentorship,Wednesday,14
2021-04-07 13:00:16,2021-04-07 13:30:16,Project C,0 days 00:30:00,meeting,Wednesday,14
2021-04-07 13:38:23,2021-04-07 14:36:31,Project C,0 days 00:58:08,project mgmt,Wednesday,14
2021-04-07 15:05:57,2021-04-07 17:55:47,Project D,0 days 02:49:50,collaboration,Wednesday,14
2021-04-08 09:00:21,2021-04-08 10:00:12,Project E,0 days 00:59:51,meeting,Thursday,14
2021-04-09 09:00:03,2021-04-09 10:30:03,Project A,0 days 01:30:00,admin,Friday,14
2021-04-09 10:47:54,2021-04-09 11:56:36,Project F,0 days 01:08:42,programming,Friday,14
2021-04-09 13:24:23,2021-04-09 13:59:32,Project C,0 days 00:35:09,project mgmt,Friday,14
2021-04-12 09:30:51,2021-04-12 10:30:51,Project A,0 days 01:00:00,admin,Monday,15
2021-04-12 10:30:08,2021-04-12 11:45:08,Project C,0 days 01:15:00,meeting,Monday,15
2021-04-12 13:30:51,2021-04-12 17:00:51,Project C,0 days 03:30:00,project mgmt,Monday,15
2021-04-13 09:00:21,2021-04-13 10:30:21,Project B,0 days 01:30:00,writing,Tuesday,15
2021-04-13 10:30:24,2021-04-13 12:00:24,Project C,0 days 01:30:00,project mgmt,Tuesday,15
2021-04-13 13:59:12,2021-04-13 16:48:58,Project A,0 days 02:49:46,review,Tuesday,15
2021-04-14 09:20:50,2021-04-14 11:21:40,Project D,0 days 02:00:50,writing,Wednesday,15
2021-04-14 12:30:00,2021-04-14 14:00:00,Project C,0 days 01:30:00,meeting,Wednesday,15
2021-04-14 14:00:52,2021-04-14 17:00:52,Project D,0 days 03:00:00,writing,Wednesday,15
2021-04-15 09:00:25,2021-04-15 10:00:25,Project F,0 days 01:00:00,meeting,Thursday,15
2021-04-15 10:00:11,2021-04-15 11:30:11,Project A,0 days 01:30:00,training,Thursday,15
2021-04-15 12:52:30,2021-04-15 13:21:35,Project D,0 days 00:29:05,writing,Thursday,15
2021-04-15 13:30:34,2021-04-15 14:30:01,Project E,0 days 00:59:27,blogging,Thursday,15
2021-04-15 14:48:25,2021-04-15 15:20:53,Project B,0 days 00:32:28,meeting,Thursday,15
2021-04-15 15:20:59,2021-04-15 17:00:33,Project E,0 days 01:39:34,blogging,Thursday,15
2021-04-16 10:13:37,2021-04-16 11:27:08,Project A,0 days 01:13:31,review,Friday,15
2021-04-16 13:30:07,2021-04-16 15:12:02,Project G,0 days 01:41:55,meeting,Friday,15
2021-04-16 15:25:18,2021-04-16 15:50:54,Project F,0 days 00:25:36,project mgmt,Friday,15
2021-04-16 15:59:45,2021-04-16 16:47:05,Project A,0 days 00:47:20,admin,Friday,15
2021-04-19 09:01:02,2021-04-19 09:18:35,Project A,0 days 00:17:33,admin,Monday,16
2021-04-19 09:18:42,2021-04-19 12:04:10,Project A,0 days 02:45:28,review,Monday,16
2021-04-19 13:35:35,2021-04-19 16:23:27,Project B,0 days 02:47:52,programming,Monday,16
2021-04-20 09:00:28,2021-04-20 10:00:54,Project A,0 days 01:00:26,review,Tuesday,16
2021-04-20 10:00:02,2021-04-20 11:00:35,Project C,0 days 01:00:33,mentorship,Tuesday,16
2021-04-20 11:02:35,2021-04-20 11:36:54,Project A,0 days 00:34:19,review,Tuesday,16
2021-04-20 13:30:54,2021-04-20 13:59:34,Project A,0 days 00:28:40,programming,Tuesday,16
2021-04-20 14:00:34,2021-04-20 14:30:09,Project F,0 days 00:29:35,programming,Tuesday,16
2021-04-20 15:04:16,2021-04-20 16:33:17,Project F,0 days 01:29:01,programming,Tuesday,16
2021-04-21 09:00:29,2021-04-21 10:00:29,Project A,0 days 01:00:00,admin,Wednesday,16
2021-04-21 10:00:19,2021-04-21 11:30:19,Project C,0 days 01:30:00,mentorship,Wednesday,16
2021-04-21 13:00:32,2021-04-21 14:30:32,Project C,0 days 01:30:00,mentorship,Wednesday,16
2021-04-21 16:01:32,2021-04-21 17:00:05,Project F,0 days 00:58:33,meeting,Wednesday,16
2021-04-22 09:00:30,2021-04-22 10:05:15,Project E,0 days 01:04:45,meeting,Thursday,16
2021-04-22 10:30:26,2021-04-22 11:00:26,Project F,0 days 00:30:00,collaboration,Thursday,16
2021-04-22 11:00:32,2021-04-22 11:30:32,Project C,0 days 00:30:00,mentorship,Thursday,16
2021-04-22 13:30:59,2021-04-22 14:55:14,Project B,0 days 01:24:15,meeting,Thursday,16
2021-04-22 15:30:57,2021-04-22 16:00:57,Project B,0 days 00:30:00,meeting,Thursday,16
2021-04-23 09:00:20,2021-04-23 10:00:01,Project A,0 days 00:59:41,admin,Friday,16
2021-04-23 10:00:58,2021-04-23 12:00:58,Project B,0 days 02:00:00,programming,Friday,16
2021-04-23 13:30:44,2021-04-23 14:30:44,Project G,0 days 01:00:00,programming,Friday,16
2021-04-23 15:00:39,2021-04-23 16:00:39,Project C,0 days 01:00:00,meeting,Friday,16
2021-04-23 16:00:15,2021-04-23 17:00:15,Project A,0 days 01:00:00,admin,Friday,16
